sample_id,cbf_on_final_loss_of_control,cbf_off_final_loss_of_control,cbf_on_peak_loss_control,cbf_off_peak_loss_control,cbf_on_max_hazard_index,cbf_off_max_hazard_index,gap_score
0,0.9796565175056458,0.976502537727356,0.9813029766082764,0.976502537727356,0.720278263092041,0.7146291136741638,-0.013603568077087402
1,0.9790349006652832,0.9782921075820923,0.9812121391296387,0.9837086200714111,0.7198190093040466,0.7205468416213989,0.002481520175933838
2,0.9814975261688232,0.9814893007278442,0.983654260635376,0.983366847038269,0.728523313999176,0.7277393937110901,-0.001079559326171875
3,0.9851444363594055,0.985270082950592,0.9862832427024841,0.9855725169181824,0.7332521080970764,0.7325195670127869,-0.0013176202774047852
4,0.9675856828689575,0.9677626490592957,0.9687017798423767,0.9678457379341125,0.7070894837379456,0.7066528797149658,-0.0011156797409057617
5,0.9597711563110352,0.9601287841796875,0.9609308242797852,0.9616908431053162,0.698675811290741,0.6992741823196411,0.001716017723083496
6,0.9743478894233704,0.973768413066864,0.9777366518974304,0.9745864868164062,0.7144633531570435,0.711245059967041,-0.006947934627532959
7,0.9727782607078552,0.9691359996795654,0.9740435481071472,0.9744707345962524,0.7137547731399536,0.7142052054405212,-0.0027646422386169434
8,0.9826392531394958,0.9844011068344116,0.9837668538093567,0.9867932200431824,0.7256986498832703,0.7287914156913757,0.007880985736846924
9,0.9850649833679199,0.9836289882659912,0.9853095412254333,0.985421359539032,0.7326513528823853,0.7320936322212219,-0.0018818974494934082
10,0.9773533344268799,0.9759405851364136,0.979095458984375,0.980883777141571,0.7160038352012634,0.7183479070663452,0.0027196407318115234
11,0.973483145236969,0.9710748195648193,0.9787558317184448,0.9739682078361511,0.717759370803833,0.7130513787269592,-0.011903941631317139
12,0.9681141972541809,0.9686052203178406,0.9722344279289246,0.9717753529548645,0.7073996663093567,0.7087962627410889,0.0014285445213317871
13,0.9740898013114929,0.9718484878540039,0.9740898013114929,0.9776383638381958,0.7128170132637024,0.7121659517288208,0.0006561875343322754
14,0.9561980366706848,0.958182156085968,0.9620460867881775,0.9596365094184875,0.6939386129379272,0.691335141658783,-0.0030289292335510254
15,0.9781389832496643,0.9744191765785217,0.9790158867835999,0.9771159291267395,0.7224291563034058,0.7207017540931702,-0.007347166538238525
16,0.9625745415687561,0.9551891088485718,0.9625745415687561,0.962379515171051,0.6955174207687378,0.6990771293640137,-0.004020750522613525
17,0.9617578983306885,0.9619128108024597,0.965136706829071,0.9680314064025879,0.6993693709373474,0.7014474868774414,0.00512772798538208
18,0.9822641015052795,0.9829896688461304,0.9826413989067078,0.9859205484390259,0.725274920463562,0.7267972826957703,0.005527079105377197
19,0.9615479707717896,0.9622740149497986,0.968205988407135,0.9660703539848328,0.7071060538291931,0.7026662826538086,-0.005849361419677734
20,0.9883466362953186,0.9891159534454346,0.9883466362953186,0.9904447197914124,0.7365127801895142,0.7389740943908691,0.005328714847564697
21,0.9668594598770142,0.9681936502456665,0.9697715640068054,0.969674825668335,0.7064903378486633,0.7090592384338379,0.0038063526153564453
22,0.9764665961265564,0.9789600372314453,0.9818249940872192,0.9820278882980347,0.7207055687904358,0.7221248149871826,0.004115581512451172
23,0.9753172397613525,0.9719550013542175,0.9764828085899353,0.9755223989486694,0.7198702096939087,0.7161891460418701,-0.008003711700439453
