edge,prior_weight,learned_weight,delta,flipped
Open_Weight_Avail->Vuln_Discovery_Rate,0.699999988079071,-0.732583224773407,-1.432583212852478,1
Cross_Platform_Coordination->Platform_Moderation_Effectiveness,-0.44999998807907104,0.007740753702819347,0.4577407417818904,1
Grievance_Amplification->Disinformation_Volume,0.699999988079071,0.32456135749816895,-0.3754386305809021,0
Disinformation_Volume->Platform_Moderation_Effectiveness,-0.699999988079071,-0.34832483530044556,0.3516751527786255,0
AI_Content_Generation_Capacity->Cross_Platform_Coordination,0.699999988079071,0.3566596508026123,-0.34334033727645874,0
Enforcement_Effectiveness->Innovation_Speed,-0.44999998807907104,-0.7697490453720093,-0.31974905729293823,0
AI_Content_Generation_Capacity->Synthetic_Persona_Prevalence,0.699999988079071,0.38477519154548645,-0.3152247965335846,0
Detection_Tool_Sophistication->Deepfake_Quality,-0.44999998807907104,-0.7524644732475281,-0.30246448516845703,0
Misuse_Opportunity->Oversight_Delay,0.44999998807907104,0.732342541217804,0.2823425531387329,0
Synthetic_Persona_Prevalence->Disinformation_Volume,0.699999988079071,0.4485950469970703,-0.25140494108200073,0
Response_Delay_Shared->Oversight_Delay,0.699999988079071,0.921778678894043,0.22177869081497192,0
Vuln_Backlog->Attack_Sophistication,0.44999998807907104,0.6663236021995544,0.2163236141204834,0
Safeguard_Update_Freq->Active_Exploits,-0.699999988079071,-0.4846581220626831,0.21534186601638794,0
Synthesis_Lit_Accessibility->Actionable_CBRN_Knowledge,0.699999988079071,0.4915955066680908,-0.20840448141098022,0
Public_Trust_Cyber->Defender_Capacity,0.699999988079071,0.495147705078125,-0.20485228300094604,0
Fact_Check_Capacity->Disinformation_Volume,-0.699999988079071,-0.8930331468582153,-0.1930331587791443,0
Counter_Narrative_Capacity->Disinformation_Volume,-0.699999988079071,-0.8902916312217712,-0.1902916431427002,0
Oversight_Delay->Response_Delay_Shared,0.699999988079071,0.8888751268386841,0.18887513875961304,0
Platform_Moderation_Effectiveness->Synthetic_Persona_Prevalence,-0.699999988079071,-0.8876717686653137,-0.18767178058624268,0
Incident_Burden->Response_Delay,0.699999988079071,0.8871995806694031,0.18719959259033203,0
